DATES,WINEID,AVGFIXEDACIDITY,AVGVOLATILEACIDITY,AVGCITRICACID,AVGFINALNOTE
 - , - ,3.76,.51,.4875,4.04
 - ,1,7.5,.6,.25,4.2
 - ,2,5.5,.5,.3,3.8
 - ,3,2.5,.5,.6,4.6
 - ,4,3.2,.4,.5,3.5
 - ,5,2.8,.6,.7,4
 - ,6,3.5,.3,.8,3.9
 - ,7,2.7,.7,.4,4.1
 - ,8,3.9,.2,.9,3.7
 - ,9,2.6,.8,.3,4.3
 - ,10,4.2,.1,.2,3.6
 - ,11,3.1,.9,.1,4.4
 - ,12,4.4,.6,.5,3.3
 - ,13,2.9,.4,.8,4.7
 - ,14,4.1,.3,.7,3.2
 - ,15,2.4,.7,.6,4.5
 - ,16,4.3,.2,.9,3.4
 - ,17,3.6,.8,.4,4.9
 - ,18,4,.1,.3,3.1
 - ,19,3,.9,.2,4.8
 - ,20,5,.6,.3,4.8
2023-01-01, - ,7.5,.6,.25,4.2
2023-01-01,1,7.5,.6,.25,4.2
2023-01-02, - ,5.5,.5,.3,3.8
2023-01-02,2,5.5,.5,.3,3.8
2023-01-03, - ,2.5,.5,.6,4.6
2023-01-03,3,2.5,.5,.6,4.6
2023-01-04, - ,3.2,.4,.5,3.5
2023-01-04,4,3.2,.4,.5,3.5
2023-01-05, - ,2.8,.6,.7,4
2023-01-05,5,2.8,.6,.7,4
2023-01-06, - ,3.5,.3,.8,3.9
2023-01-06,6,3.5,.3,.8,3.9
2023-01-07, - ,2.7,.7,.4,4.1
2023-01-07,7,2.7,.7,.4,4.1
2023-01-08, - ,3.9,.2,.9,3.7
2023-01-08,8,3.9,.2,.9,3.7
2023-01-09, - ,2.6,.8,.3,4.3
2023-01-09,9,2.6,.8,.3,4.3
2023-01-10, - ,4.2,.1,.2,3.6
2023-01-10,10,4.2,.1,.2,3.6
2023-01-11, - ,3.1,.9,.1,4.4
2023-01-11,11,3.1,.9,.1,4.4
2023-01-12, - ,4.4,.6,.5,3.3
2023-01-12,12,4.4,.6,.5,3.3
2023-01-13, - ,2.9,.4,.8,4.7
2023-01-13,13,2.9,.4,.8,4.7
2023-01-14, - ,4.1,.3,.7,3.2
2023-01-14,14,4.1,.3,.7,3.2
2023-01-15, - ,2.4,.7,.6,4.5
